scenario,configuredFailureRate,concurrency,metric,baselineMean,resilientMean,deltaResilientMinusBaseline,pairedBy
f0-no-failure,0.0,10,averageCompensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,totalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,averageTotalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,compensationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,p50LatencyMs,14.6806376999848,29.989762599961978,15.309124899977178,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,p95LatencyMs,19.250866799939104,37.641108400066514,18.39024160012741,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,p99LatencyMs,25.507133199880627,42.649458200048684,17.142325000168057,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,throughputTransactionsPerSecond,669.6551543604837,338.27618977441733,-331.3789645860664,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,averageRecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,p95RecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,10,actualInjectedFailureRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,attemptSuccessRate,0.99996,0.99546,-0.0044999999999999485,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,logicalTransactionSuccessRate,0.99996,0.99546,-0.0044999999999999485,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,terminalFailedLogicalTransactions,0.4,45.0,44.6,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,nonTerminalLogicalTransactions,0.0,0.4,0.4,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,invariantViolationRate,4e-05,0.0,-4e-05,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,recoveryCompletedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,recoveryFailedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,recoverySuccessRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,nonTerminalAfterRecoveryRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,operationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,averageOperationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,compensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,averageCompensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,totalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,averageTotalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,compensationRate,0.0,0.0012799999999999999,0.0012799999999999999,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,p50LatencyMs,145.32672520001597,317.71347499995954,172.38674979994357,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,p95LatencyMs,274.7383504000027,605.5133081999429,330.77495779994024,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,p99LatencyMs,363.5849166000298,772.6768248000099,409.09190819998,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,throughputTransactionsPerSecond,624.6116569735809,297.01779987469786,-327.59385709888306,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,averageRecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,p95RecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,100,actualInjectedFailureRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,attemptSuccessRate,0.94886,1.0,0.05113999999999996,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,logicalTransactionSuccessRate,0.94886,1.0,0.05113999999999996,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,terminalFailedLogicalTransactions,511.4,0.0,-511.4,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,nonTerminalLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,invariantViolationRate,0.05114,0.0,-0.05114,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,recoveryCompletedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,recoveryFailedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,recoverySuccessRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,nonTerminalAfterRecoveryRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,operationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,averageOperationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,compensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,averageCompensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,totalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,averageTotalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,compensationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,p50LatencyMs,10.918874899925868,14.594158299769333,3.6752833998434653,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,p95LatencyMs,319.6214668000721,928.2838998002262,608.6624330001541,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,p99LatencyMs,528.8769499999944,1552.5523918001454,1023.675441800151,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,throughputTransactionsPerSecond,26.376797322964087,10.725722314963095,-15.651075008000992,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,averageRecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,p95RecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,1,actualInjectedFailureRate,0.05114,0.05114,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,attemptSuccessRate,0.9511,1.0,0.048900000000000055,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,logicalTransactionSuccessRate,0.9511,1.0,0.048900000000000055,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,terminalFailedLogicalTransactions,489.0,0.0,-489.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,nonTerminalLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,invariantViolationRate,0.0489,0.0,-0.0489,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,recoveryCompletedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,recoveryFailedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,recoverySuccessRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,nonTerminalAfterRecoveryRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,operationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,averageOperationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,compensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,averageCompensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,totalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,averageTotalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,10,compensationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
