mode,scenario,backend,configuredFailureRate,transactionCount,concurrency,repetitionNumber,randomSeed,runStartedAt,runEndedAt,actualInjectedFailureCount,actualInjectedFailureRate,attemptCount,requestAttemptCount,successRate,attemptSuccessRate,logicalTransactionSuccessRate,logicalTransactionCount,completedLogicalTransactions,terminalFailedLogicalTransactions,nonTerminalLogicalTransactions,failureRate,recoveryRate,recoveryAttempted,recoveryAttemptedRate,recoveryCompleted,recoveryCompletedRate,recoveryFailed,recoveryFailedRate,recoverySuccessRate,nonTerminalAfterRecoveryRate,compensatedTransactions,compensationRate,duplicateOrderCount,duplicateOrderRate,duplicatePaymentCount,duplicatePaymentRate,orphanedOrderCount,orphanedOrderRate,invariantViolationCount,invariantViolationRate,retryCount,averageRetryCount,operationRetryCount,averageOperationRetryCount,compensationRetryCount,averageCompensationRetryCount,totalRetryCount,averageTotalRetryCount,p50Latency,p50LatencyMs,p95Latency,p95LatencyMs,p99Latency,p99LatencyMs,throughput,throughputTransactionsPerSecond,recoveryTime,averageRecoveryTimeMs,p95RecoveryTimeMs,reconciliationWindowMs,summaryPath,phase
baseline,f0-no-failure,services,0.0,10000,1,1,2026081400,2026-08-15T00:00:16.963672+00:00,2026-08-15T00:01:53.011206+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9.455062499998945,9.455062499998945,11.040374999993219,11.040374999993219,14.53404100000455,14.53404100000455,104.12317025135661,104.12317025135661,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/baseline/f0-no-failure/b2d007a6-56d8-4893-9b62-ac60ed4f2d75/rep-0001/summary.csv,B2
baseline,f0-no-failure,services,0.0,10000,1,2,2026081401,2026-08-15T00:01:53.461060+00:00,2026-08-15T00:03:30.562470+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9.5500004999991,9.5500004999991,11.139749999983906,11.139749999983906,15.914584000000787,15.914584000000787,102.99274419363486,102.99274419363486,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/baseline/f0-no-failure/965a3277-fec5-4825-822d-266b4cf5db9a/rep-0002/summary.csv,B2
baseline,f0-no-failure,services,0.0,10000,1,3,2026081402,2026-08-15T00:03:30.985314+00:00,2026-08-15T00:05:03.691678+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8.91972899999871,8.91972899999871,11.136999999990849,11.136999999990849,15.68637499997294,15.68637499997294,107.87589416676828,107.87589416676828,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/baseline/f0-no-failure/ee967a54-29c0-4b94-8e94-91e20a2df840/rep-0003/summary.csv,B2
baseline,f0-no-failure,services,0.0,10000,1,4,2026081403,2026-08-15T00:05:04.159023+00:00,2026-08-15T00:06:46.903034+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9.824083499978542,9.824083499978542,13.365125000007083,13.365125000007083,18.039582999961112,18.039582999961112,97.33727326883483,97.33727326883483,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/baseline/f0-no-failure/ac1394c6-a83e-4dc8-8cb1-d34cf898fc33/rep-0004/summary.csv,B2
baseline,f0-no-failure,services,0.0,10000,1,5,2026081404,2026-08-15T00:06:47.403720+00:00,2026-08-15T00:08:26.641853+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9.699854500013316,9.699854500013316,11.620750000020053,11.620750000020053,16.663166999990153,16.663166999990153,100.7752614825525,100.7752614825525,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/baseline/f0-no-failure/5b03fa73-d0db-44af-84ef-36078b0e4be9/rep-0005/summary.csv,B2
resilient,f0-no-failure,services,0.0,10000,1,1,2026081400,2026-08-15T00:08:27.057594+00:00,2026-08-15T00:10:56.317145+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14.060687499977575,14.060687499977575,16.417374999946333,16.417374999946333,21.40495900005135,21.40495900005135,70.04873659236205,70.04873659236205,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/resilient/f0-no-failure/4b2ad144-6413-44d7-b3c9-e4f0f2f25f06/rep-0001/summary.csv,B2
resilient,f0-no-failure,services,0.0,10000,1,2,2026081401,2026-08-15T00:10:56.708886+00:00,2026-08-15T00:13:25.975991+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14.06156250004642,14.06156250004642,16.28058299991153,16.28058299991153,20.098999999959233,20.098999999959233,70.1671262338485,70.1671262338485,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/resilient/f0-no-failure/0744c03a-6afc-4a50-92ae-bb0ac231de0d/rep-0002/summary.csv,B2
resilient,f0-no-failure,services,0.0,10000,1,3,2026081402,2026-08-15T00:13:26.379902+00:00,2026-08-15T00:15:55.327426+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14.143707999949129,14.143707999949129,16.336500000079468,16.336500000079468,19.174249999991844,19.174249999991844,70.25521149940688,70.25521149940688,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/resilient/f0-no-failure/4c80f7e7-1165-434b-9119-f44007ceb587/rep-0003/summary.csv,B2
resilient,f0-no-failure,services,0.0,10000,1,4,2026081403,2026-08-15T00:15:55.718342+00:00,2026-08-15T00:18:22.877536+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14.036020500043378,14.036020500043378,15.57333299979291,15.57333299979291,18.758416999844485,18.758416999844485,71.07302664557713,71.07302664557713,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/resilient/f0-no-failure/4131d96e-0eb0-4c21-be4b-3ef0caa94fbd/rep-0004/summary.csv,B2
resilient,f0-no-failure,services,0.0,10000,1,5,2026081404,2026-08-15T00:18:23.317314+00:00,2026-08-15T00:20:50.074341+00:00,0,0.0,10000,10000,1.0,1.0,1.0,10000,10000,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,NA,NA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13.926395999988017,13.926395999988017,15.489458000047307,15.489458000047307,18.587167000077898,18.587167000077898,71.39448366471188,71.39448366471188,NA,NA,NA,2000,results/phase_b2_services/raw/f0-no-failure/rate-0p00/concurrency-001/resilient/f0-no-failure/e59a7b71-fa99-4677-9772-eb5a70ae7294/rep-0005/summary.csv,B2
