scenario,configuredFailureRate,concurrency,mode,backend,n,attemptSuccessRateMean,attemptSuccessRateMedian,attemptSuccessRateStd,attemptSuccessRateMin,attemptSuccessRateMax,attemptSuccessRateCi95Low,attemptSuccessRateCi95High,attemptSuccessRateN,logicalTransactionSuccessRateMean,logicalTransactionSuccessRateMedian,logicalTransactionSuccessRateStd,logicalTransactionSuccessRateMin,logicalTransactionSuccessRateMax,logicalTransactionSuccessRateCi95Low,logicalTransactionSuccessRateCi95High,logicalTransactionSuccessRateN,terminalFailedLogicalTransactionsMean,terminalFailedLogicalTransactionsMedian,terminalFailedLogicalTransactionsStd,terminalFailedLogicalTransactionsMin,terminalFailedLogicalTransactionsMax,terminalFailedLogicalTransactionsCi95Low,terminalFailedLogicalTransactionsCi95High,terminalFailedLogicalTransactionsN,nonTerminalLogicalTransactionsMean,nonTerminalLogicalTransactionsMedian,nonTerminalLogicalTransactionsStd,nonTerminalLogicalTransactionsMin,nonTerminalLogicalTransactionsMax,nonTerminalLogicalTransactionsCi95Low,nonTerminalLogicalTransactionsCi95High,nonTerminalLogicalTransactionsN,invariantViolationRateMean,invariantViolationRateMedian,invariantViolationRateStd,invariantViolationRateMin,invariantViolationRateMax,invariantViolationRateCi95Low,invariantViolationRateCi95High,invariantViolationRateN,duplicateOrderRateMean,duplicateOrderRateMedian,duplicateOrderRateStd,duplicateOrderRateMin,duplicateOrderRateMax,duplicateOrderRateCi95Low,duplicateOrderRateCi95High,duplicateOrderRateN,duplicatePaymentRateMean,duplicatePaymentRateMedian,duplicatePaymentRateStd,duplicatePaymentRateMin,duplicatePaymentRateMax,duplicatePaymentRateCi95Low,duplicatePaymentRateCi95High,duplicatePaymentRateN,orphanedOrderRateMean,orphanedOrderRateMedian,orphanedOrderRateStd,orphanedOrderRateMin,orphanedOrderRateMax,orphanedOrderRateCi95Low,orphanedOrderRateCi95High,orphanedOrderRateN,recoveryAttemptedRateMean,recoveryAttemptedRateMedian,recoveryAttemptedRateStd,recoveryAttemptedRateMin,recoveryAttemptedRateMax,recoveryAttemptedRateCi95Low,recoveryAttemptedRateCi95High,recoveryAttemptedRateN,recoveryCompletedRateMean,recoveryCompletedRateMedian,recoveryCompletedRateStd,recoveryCompletedRateMin,recoveryCompletedRateMax,recoveryCompletedRateCi95Low,recoveryCompletedRateCi95High,recoveryCompletedRateN,recoveryFailedRateMean,recoveryFailedRateMedian,recoveryFailedRateStd,recoveryFailedRateMin,recoveryFailedRateMax,recoveryFailedRateCi95Low,recoveryFailedRateCi95High,recoveryFailedRateN,recoverySuccessRateMean,recoverySuccessRateMedian,recoverySuccessRateStd,recoverySuccessRateMin,recoverySuccessRateMax,recoverySuccessRateCi95Low,recoverySuccessRateCi95High,recoverySuccessRateN,nonTerminalAfterRecoveryRateMean,nonTerminalAfterRecoveryRateMedian,nonTerminalAfterRecoveryRateStd,nonTerminalAfterRecoveryRateMin,nonTerminalAfterRecoveryRateMax,nonTerminalAfterRecoveryRateCi95Low,nonTerminalAfterRecoveryRateCi95High,nonTerminalAfterRecoveryRateN,operationRetryCountMean,operationRetryCountMedian,operationRetryCountStd,operationRetryCountMin,operationRetryCountMax,operationRetryCountCi95Low,operationRetryCountCi95High,operationRetryCountN,averageOperationRetryCountMean,averageOperationRetryCountMedian,averageOperationRetryCountStd,averageOperationRetryCountMin,averageOperationRetryCountMax,averageOperationRetryCountCi95Low,averageOperationRetryCountCi95High,averageOperationRetryCountN,compensationRetryCountMean,compensationRetryCountMedian,compensationRetryCountStd,compensationRetryCountMin,compensationRetryCountMax,compensationRetryCountCi95Low,compensationRetryCountCi95High,compensationRetryCountN,averageCompensationRetryCountMean,averageCompensationRetryCountMedian,averageCompensationRetryCountStd,averageCompensationRetryCountMin,averageCompensationRetryCountMax,averageCompensationRetryCountCi95Low,averageCompensationRetryCountCi95High,averageCompensationRetryCountN,totalRetryCountMean,totalRetryCountMedian,totalRetryCountStd,totalRetryCountMin,totalRetryCountMax,totalRetryCountCi95Low,totalRetryCountCi95High,totalRetryCountN,averageTotalRetryCountMean,averageTotalRetryCountMedian,averageTotalRetryCountStd,averageTotalRetryCountMin,averageTotalRetryCountMax,averageTotalRetryCountCi95Low,averageTotalRetryCountCi95High,averageTotalRetryCountN,compensationRateMean,compensationRateMedian,compensationRateStd,compensationRateMin,compensationRateMax,compensationRateCi95Low,compensationRateCi95High,compensationRateN,p50LatencyMsMean,p50LatencyMsMedian,p50LatencyMsStd,p50LatencyMsMin,p50LatencyMsMax,p50LatencyMsCi95Low,p50LatencyMsCi95High,p50LatencyMsN,p95LatencyMsMean,p95LatencyMsMedian,p95LatencyMsStd,p95LatencyMsMin,p95LatencyMsMax,p95LatencyMsCi95Low,p95LatencyMsCi95High,p95LatencyMsN,p99LatencyMsMean,p99LatencyMsMedian,p99LatencyMsStd,p99LatencyMsMin,p99LatencyMsMax,p99LatencyMsCi95Low,p99LatencyMsCi95High,p99LatencyMsN,throughputTransactionsPerSecondMean,throughputTransactionsPerSecondMedian,throughputTransactionsPerSecondStd,throughputTransactionsPerSecondMin,throughputTransactionsPerSecondMax,throughputTransactionsPerSecondCi95Low,throughputTransactionsPerSecondCi95High,throughputTransactionsPerSecondN,averageRecoveryTimeMsMean,averageRecoveryTimeMsMedian,averageRecoveryTimeMsStd,averageRecoveryTimeMsMin,averageRecoveryTimeMsMax,averageRecoveryTimeMsCi95Low,averageRecoveryTimeMsCi95High,averageRecoveryTimeMsN,p95RecoveryTimeMsMean,p95RecoveryTimeMsMedian,p95RecoveryTimeMsStd,p95RecoveryTimeMsMin,p95RecoveryTimeMsMax,p95RecoveryTimeMsCi95Low,p95RecoveryTimeMsCi95High,p95RecoveryTimeMsN,actualInjectedFailureRateMean,actualInjectedFailureRateMedian,actualInjectedFailureRateStd,actualInjectedFailureRateMin,actualInjectedFailureRateMax,actualInjectedFailureRateCi95Low,actualInjectedFailureRateCi95High,actualInjectedFailureRateN
f0-no-failure,0.0,50,baseline,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,55.96752520000023,56.03585450000281,0.7029336012908256,55.23597950000081,56.89589599999978,55.351376732067465,56.583673667933,5,88.39465820000107,87.85224999999741,1.790730430393092,86.21154199999737,90.52783300000122,86.8250137710804,89.96430262892174,5,111.46368320000093,109.31104100000155,6.230985472138273,105.94724999999983,121.1083749999986,106.00198362365512,116.92538277634674,5,844.5302382198629,853.2070525737644,20.694530258362114,810.4382447053157,860.4539238406112,826.3906826631743,862.6697937765515,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f0-no-failure,0.0,50,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,99.38730399999827,99.57410399999844,0.9817233291598895,97.85966649999978,100.46900000000392,98.5267855611515,100.24782243884503,5,160.52470019999987,160.15608300000395,2.9561885380826656,157.1005420000091,165.27004200000306,157.93348669802012,163.11591370197962,5,196.49599160000264,194.7483750000032,7.921581586986504,190.01624999999933,210.21637500000168,189.55241919222016,203.43956400778512,5,479.42806763328326,478.5691232991757,5.20044774840106,475.33321838983915,488.0363263006972,474.86967419916994,483.9864610673966,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
f11-transient-payment-failure-recovery,0.01,50,baseline,services,5,0.98868,0.9882,0.0010521406750049916,0.9876,0.9902,0.9877577580360881,0.9896022419639119,5,0.98868,0.9882,0.0010521406750049916,0.9876,0.9902,0.9877577580360881,0.9896022419639119,5,113.2,118.0,10.52140675005011,98.0,124.0,103.97758036088143,122.42241963911857,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.01132,0.0118,0.001052140675005011,0.0098,0.0124,0.010397758036088143,0.012242241963911858,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,71.03806659993097,71.55274999990979,3.9535937657756657,64.45931250004833,74.50537499971688,67.57258886897901,74.50354433088293,5,122.05366659991341,120.66208299984282,7.688554908293526,113.9442919998146,134.4648330000382,115.31435108182929,128.79298211799752,5,152.6865167998949,151.71895799994672,11.300767927022754,140.89675000013813,171.12166699962472,142.78095696904816,162.59207663074162,5,664.2425306184547,661.200361635577,38.755398047381576,623.1513258213763,727.1656620448833,630.2719264430837,698.2131347938257,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.01132,0.0118,0.001052140675005011,0.0098,0.0124,0.010397758036088143,0.012242241963911858,5
f11-transient-payment-failure-recovery,0.01,50,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,113.2,118.0,10.52140675005011,98.0,124.0,103.97758036088143,122.42241963911857,5,0.01132,0.0118,0.001052140675005011,0.0098,0.0124,0.010397758036088143,0.012242241963911858,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,113.2,118.0,10.52140675005011,98.0,124.0,103.97758036088143,122.42241963911857,5,0.01132,0.0118,0.001052140675005011,0.0098,0.0124,0.010397758036088143,0.012242241963911858,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,133.25405859995954,133.46320849996118,4.842808436828959,126.40362549996098,139.66452099998605,129.00914984418998,137.4989673557291,5,222.25522500002626,223.69925000020885,9.454350822054744,208.31120799994096,232.55895900001633,213.96812112049804,230.54232887955447,5,272.0759831999203,272.853208000015,12.778582472970697,253.92304199976934,289.7699999998622,260.87506180618556,283.27690459365505,5,358.79749237327627,355.6173007205018,11.921934151626258,344.23389254100425,376.70957101439336,348.3474563402417,369.24752840631083,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.01132,0.0118,0.001052140675005011,0.0098,0.0124,0.010397758036088143,0.012242241963911858,5
f11-transient-payment-failure-recovery,0.05,50,baseline,services,5,0.95058,0.9512,0.001441180072024307,0.9487,0.9519,0.9493167499693251,0.9518432500306748,5,0.95058,0.9512,0.001441180072024307,0.9487,0.9519,0.9493167499693251,0.9518432500306748,5,494.2,488.0,14.411800720243116,481.0,513.0,481.56749969325153,506.83250030674844,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.04942,0.0488,0.0014411800720243108,0.0481,0.0513,0.048156749969325154,0.050683250030674844,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,81.1208959999476,80.79462499972578,1.9898756300745415,79.31606250008372,84.36877100007223,79.37669310710578,82.86509889278943,5,137.61695799994413,133.93554099957328,8.14332444565288,131.45266700030334,150.95095800006675,130.4790194068044,144.75489659308386,5,172.0525164000719,168.32108300013715,11.336168783187679,161.33637500024633,189.2891669999699,162.11592635065338,181.98910644949044,5,580.5201255327914,584.9579596198338,18.582416530698364,549.047984632478,595.1135804029803,564.2319192856394,596.8083317799435,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.049980000000000004,0.0497,0.0014342245291445812,0.0485,0.0518,0.04872284677147136,0.05123715322852865,5
f11-transient-payment-failure-recovery,0.05,50,resilient,services,5,0.99684,1.0,0.007065974808899352,0.9842,1.0,0.9906463999999999,1.0030336,5,0.99988,1.0,0.00026832815729999483,0.9994,1.0,0.9996448,1.0001152,5,1.2,0.0,2.6832815729997477,0.0,6.0,-1.152,3.5519999999999996,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.00182,0.0,0.004069643719049617,0.0,0.0091,-0.0017471999999999995,0.0053872,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,498.6,503.0,12.621410380777577,483.0,513.0,487.53684601933065,509.6631539806694,5,0.04986,0.0503,0.0012621410380777556,0.0483,0.0513,0.04875368460193307,0.05096631539806693,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,498.6,503.0,12.621410380777577,483.0,513.0,487.53684601933065,509.6631539806694,5,0.04986,0.0503,0.0012621410380777556,0.0483,0.0513,0.04875368460193307,0.05096631539806693,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,169.20077090007908,140.66675000026407,50.85846651040567,129.38756250014194,242.35239599988745,124.62135946740295,213.7801823327552,5,479.6213168000577,225.93975000017963,448.5730213568231,213.00012500023513,1253.2278749999932,86.4297274985397,872.8129061015757,5,952.3634998001398,270.5428330000359,1303.5421073736472,259.371375000228,3257.9236660003517,-190.24153553921565,2094.9685351394955,5,281.986333874259,339.08744667669896,109.67540349041391,123.92807603858641,369.45102000953534,185.85160406986,378.121063678658,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.049980000000000004,0.0497,0.0014342245291445812,0.0485,0.0518,0.04872284677147136,0.05123715322852865,5
f11-transient-payment-failure-recovery,0.1,50,baseline,services,5,0.9058,0.907,0.0032163644072150605,0.9008,0.9087,0.9029807322936622,0.9086192677063379,5,0.9058,0.907,0.0032163644072150605,0.9008,0.9087,0.9029807322936622,0.9086192677063379,5,942.0,930.0,32.16364407215078,913.0,992.0,913.8073229366206,970.1926770633794,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0942,0.093,0.003216364407215076,0.0913,0.0992,0.09138073229366206,0.09701926770633795,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,83.37478319995171,83.35268749988245,4.043528316252323,78.71606249977958,89.4839165000576,79.8304743597902,86.91909204011321,5,151.2862167998719,156.4659999999094,21.38250247933591,128.43120899970017,180.71783300001698,132.5436270033136,170.02880659643023,5,202.17108339993501,210.69841700000325,38.056720396466524,162.2297079998134,254.16599999971368,168.81289718751188,235.52926961235815,5,553.7155363738599,546.0658885757272,38.40146347114077,516.4392689884733,601.8260289652832,520.0551695331371,587.3759032145826,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.10078,0.0996,0.003179937106296288,0.0982,0.1061,0.09799266223072982,0.10356733776927017,5
f11-transient-payment-failure-recovery,0.1,50,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,942.0,930.0,32.16364407215078,913.0,992.0,913.8073229366206,970.1926770633794,5,0.0942,0.093,0.003216364407215076,0.0913,0.0992,0.09138073229366206,0.09701926770633795,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,942.0,930.0,32.16364407215078,913.0,992.0,913.8073229366206,970.1926770633794,5,0.0942,0.093,0.003216364407215076,0.0913,0.0992,0.09138073229366206,0.09701926770633795,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,142.94102500002737,142.1912920000068,10.228981338954515,132.33258300010675,155.6039585000235,133.97492753515155,151.90712246490318,5,242.93772499986517,232.4099589995967,31.052746235115688,217.74441599973215,292.34408299998904,215.71879282371557,270.15665717601473,5,318.9109670000107,281.7442089999531,82.45282727376492,259.19699999985824,458.09137500009456,246.6378773253054,391.18405667471603,5,333.1272794668143,339.1652151508499,29.877680193969027,293.7250888768978,362.188741333999,306.93833808871847,359.3162208449101,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.10078,0.0996,0.003179937106296288,0.0982,0.1061,0.09799266223072982,0.10356733776927017,5
f11-transient-payment-failure-recovery,0.2,50,baseline,services,5,0.8301,0.8299,0.0011832159566199148,0.8288,0.832,0.8290628654860627,0.8311371345139372,5,0.8301,0.8299,0.0011832159566199148,0.8288,0.832,0.8290628654860627,0.8311371345139372,5,1699.0,1701.0,11.832159566199232,1680.0,1712.0,1688.6286548606267,1709.3713451393733,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.1699,0.1701,0.001183215956619916,0.168,0.1712,0.1688628654860627,0.1709371345139373,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,76.34379990004163,76.21927100012726,0.4527578700760224,75.94250000011016,77.1145414998955,75.94694012910513,76.74065967097813,5,126.87686680001207,126.17662499997095,1.680404964589164,125.10779200010802,129.18295800000124,125.40392690563667,128.34980669438747,5,160.23458339986973,160.1874999996653,3.100990401918165,156.3803750000261,164.7868329996527,157.51644546805448,162.95272133168498,5,619.7032117239006,619.1238152671102,7.321679198702432,609.1192584364757,629.3443195873381,613.2854769439847,626.1209465038165,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.20132,0.2011,0.001143241006962228,0.2,0.203,0.20031790507435673,0.20232209492564326,5
f11-transient-payment-failure-recovery,0.2,50,resilient,services,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1699.0,1701.0,11.832159566199232,1680.0,1712.0,1688.6286548606267,1709.3713451393733,5,0.1699,0.1701,0.001183215956619916,0.168,0.1712,0.1688628654860627,0.1709371345139373,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1699.0,1701.0,11.832159566199232,1680.0,1712.0,1688.6286548606267,1709.3713451393733,5,0.1699,0.1701,0.001183215956619916,0.168,0.1712,0.1688628654860627,0.1709371345139373,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,132.023341599961,131.5931254998759,1.1372937692716345,130.87179099989044,133.84300000006988,131.0264596579975,133.02022354192448,5,214.4995329998892,214.07954100004645,1.3811967962270268,213.17070799977955,216.78345800000898,213.28886062863512,215.71020537114327,5,257.55694179988495,257.44770899973446,1.5897305485604265,255.98300000001473,259.30541700017784,256.1634815354692,258.9504020643007,5,363.7724858372086,363.9621759587905,2.81474978932747,359.4352409633626,366.3060643991724,361.30524886472153,366.23972280969565,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0.20132,0.2011,0.001143241006962228,0.2,0.203,0.20031790507435673,0.20232209492564326,5
