scenario,configuredFailureRate,concurrency,metric,baselineMean,resilientMean,deltaResilientMinusBaseline,pairedBy
f0-no-failure,0.0,50,attemptSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,logicalTransactionSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,terminalFailedLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,nonTerminalLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,invariantViolationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,recoveryCompletedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,recoveryFailedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,recoverySuccessRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,nonTerminalAfterRecoveryRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,operationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,averageOperationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,compensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,averageCompensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,totalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,averageTotalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,compensationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,p50LatencyMs,55.96752520000023,99.38730399999827,43.419778799998035,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,p95LatencyMs,88.39465820000107,160.52470019999987,72.1300419999988,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,p99LatencyMs,111.46368320000093,196.49599160000264,85.03230840000171,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,throughputTransactionsPerSecond,844.5302382198629,479.42806763328326,-365.10217058657963,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f0-no-failure,0.0,50,averageRecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
